timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
10200,16.99,20.00,6.23,0.78,0.67,0.27,0.08
10300,17.51,20.81,6.44,0.78,0.67,0.27,0.08
10400,16.47,19.21,6.01,0.78,0.67,0.27,0.08
10500,17.51,20.81,6.44,0.78,0.67,0.27,0.08
10600,17.51,20.81,6.44,0.78,0.67,0.27,0.08
10700,16.99,20.00,6.23,0.78,0.67,0.27,0.08
10800,18.04,21.63,6.66,0.78,0.67,0.27,0.08
10900,16.99,20.00,6.23,0.78,0.67,0.27,0.08
11000,16.47,19.21,6.01,0.78,0.67,0.27,0.08
11100,16.99,20.00,6.23,0.78,0.67,0.27,0.08
11200,16.47,19.21,6.01,0.78,0.67,0.27,0.08
11300,16.99,20.00,6.23,0.78,0.67,0.27,0.08
11400,17.51,20.81,6.44,0.78,0.67,0.27,0.08
11500,17.51,20.81,6.44,0.78,0.67,0.27,0.08
11600,16.47,19.21,6.01,0.78,0.67,0.27,0.08
11700,16.99,20.00,6.23,0.78,0.67,0.27,0.08
11800,16.99,20.00,6.23,0.78,0.67,0.27,0.08
11900,20.17,25.03,7.56,0.78,0.67,0.27,0.08
12000,18.57,22.46,6.88,0.78,0.67,0.27,0.08
12100,16.99,20.00,6.23,0.78,0.67,0.27,0.08
12200,18.57,22.46,6.88,0.78,0.67,0.27,0.08
12300,16.99,20.00,6.23,0.78,0.67,0.27,0.08
12400,17.51,20.81,6.44,0.78,0.68,0.27,0.08
12500,19.10,23.31,7.11,0.78,0.67,0.27,0.08
12600,16.99,20.00,6.23,0.78,0.68,0.27,0.08
12700,18.04,21.63,6.66,0.78,0.68,0.27,0.08
12800,16.47,19.21,6.01,0.78,0.67,0.27,0.08
12900,17.51,20.81,6.44,0.78,0.67,0.27,0.08
13000,17.51,20.81,6.44,0.78,0.67,0.27,0.08
13100,16.99,20.00,6.23,0.78,0.67,0.27,0.08
13200,16.99,20.00,6.23,0.78,0.68,0.27,0.08
13300,17.51,20.81,6.44,0.78,0.68,0.27,0.08
13400,16.47,19.21,6.01,0.78,0.67,0.27,0.08
13500,17.51,20.81,6.44,0.78,0.68,0.27,0.08
13600,16.99,20.00,6.23,0.78,0.68,0.27,0.08
13700,17.51,20.81,6.44,0.78,0.68,0.27,0.08
13800,18.04,21.63,6.66,0.78,0.68,0.27,0.08
13900,17.51,20.81,6.44,0.78,0.68,0.27,0.08
14000,17.51,20.81,6.44,0.78,0.67,0.27,0.08
14100,17.51,20.81,6.44,0.78,0.67,0.27,0.08
14200,16.47,19.21,6.01,0.78,0.68,0.27,0.08
14300,16.99,20.00,6.23,0.78,0.68,0.27,0.08
14400,17.51,20.81,6.44,0.78,0.67,0.27,0.08
14500,16.99,20.00,6.23,0.78,0.67,0.27,0.08
14600,18.04,21.63,6.66,0.78,0.67,0.27,0.08
14700,16.99,20.00,6.23,0.78,0.67,0.27,0.08
14800,16.99,20.00,6.23,0.78,0.68,0.27,0.08
14900,16.99,20.00,6.23,0.78,0.68,0.27,0.08
15000,18.57,22.46,6.88,0.78,0.68,0.27,0.08
15100,16.47,19.21,6.01,0.78,0.68,0.27,0.08
15200,16.99,20.00,6.23,0.78,0.68,0.27,0.08
15300,16.99,20.00,6.23,0.78,0.68,0.27,0.08
15400,16.99,20.00,6.23,0.78,0.67,0.27,0.08
15500,18.04,21.63,6.66,0.78,0.68,0.27,0.08
15600,17.51,20.81,6.44,0.78,0.68,0.27,0.08
15700,17.51,20.81,6.44,0.78,0.67,0.28,0.08
15800,18.04,21.63,6.66,0.78,0.68,0.28,0.08
15900,17.51,20.81,6.44,0.78,0.68,0.28,0.08
16000,18.04,21.63,6.66,0.78,0.68,0.28,0.08
16100,16.99,20.00,6.23,0.78,0.68,0.28,0.08
16200,18.04,21.63,6.66,0.78,0.68,0.28,0.08
16300,18.04,21.63,6.66,0.78,0.67,0.28,0.08
16400,17.51,20.81,6.44,0.78,0.68,0.28,0.08
16500,16.99,20.00,6.23,0.78,0.68,0.28,0.08
16600,18.57,22.46,6.88,0.78,0.68,0.28,0.08
16700,17.51,20.81,6.44,0.78,0.68,0.28,0.08
16800,17.51,20.81,6.44,0.78,0.68,0.28,0.08
16900,18.04,21.63,6.66,0.78,0.68,0.28,0.08
17000,16.99,20.00,6.23,0.78,0.68,0.28,0.08
17100,16.99,20.00,6.23,0.78,0.68,0.28,0.08
17200,17.51,20.81,6.44,0.78,0.67,0.28,0.08
17300,16.99,20.00,6.23,0.78,0.68,0.28,0.08
17400,16.99,20.00,6.23,0.78,0.68,0.28,0.08
17500,17.51,20.81,6.44,0.78,0.68,0.28,0.08
17600,17.51,20.81,6.44,0.78,0.68,0.28,0.08
17700,18.57,22.46,6.88,0.78,0.67,0.28,0.08
17800,18.57,22.46,6.88,0.78,0.68,0.28,0.08
17900,18.04,21.63,6.66,0.78,0.68,0.28,0.08
18000,17.51,20.81,6.44,0.78,0.68,0.28,0.08
18100,16.99,20.00,6.23,0.78,0.68,0.28,0.08
18200,17.51,20.81,6.44,0.78,0.68,0.28,0.08
18300,16.99,20.00,6.23,0.78,0.68,0.28,0.08
18400,18.04,21.63,6.66,0.78,0.68,0.28,0.08
18500,18.57,22.46,6.88,0.78,0.68,0.28,0.08
18600,18.04,21.63,6.66,0.78,0.67,0.28,0.08
18700,18.04,21.63,6.66,0.78,0.67,0.28,0.08
18800,18.57,22.46,6.88,0.78,0.67,0.28,0.08
18900,18.04,21.63,6.66,0.78,0.68,0.28,0.08
19000,17.51,20.81,6.44,0.78,0.68,0.28,0.08
19100,18.57,22.46,6.88,0.78,0.68,0.28,0.08
19200,18.04,21.63,6.66,0.78,0.68,0.28,0.08
19300,17.51,20.81,6.44,0.78,0.68,0.28,0.08
19400,18.04,21.63,6.66,0.78,0.68,0.28,0.08
19500,18.04,21.63,6.66,0.78,0.68,0.28,0.08
19600,16.99,20.00,6.23,0.78,0.68,0.28,0.08
19700,18.04,21.63,6.66,0.78,0.68,0.28,0.08
19800,17.51,20.81,6.44,0.78,0.68,0.28,0.08
19900,19.10,23.31,7.11,0.78,0.68,0.28,0.08
20000,17.51,20.81,6.44,0.78,0.67,0.28,0.08
20100,17.51,20.81,6.44,0.78,0.68,0.28,0.08
20200,17.51,20.81,6.44,0.78,0.68,0.28,0.08
20300,18.04,21.63,6.66,0.78,0.68,0.28,0.08
20400,18.04,21.63,6.66,0.78,0.68,0.28,0.08
20500,18.04,21.63,6.66,0.78,0.68,0.28,0.08
20600,18.57,22.46,6.88,0.78,0.68,0.28,0.08
20700,18.04,21.63,6.66,0.78,0.67,0.28,0.08
20800,18.57,22.46,6.88,0.78,0.68,0.28,0.08
